date,url,status_code,title,description
2025-03-30T23:11:01+03:00,https://ya.ru,200,Вы не робот?,
2025-03-30T23:11:01+03:00,https://google.ru,200,Google,"Поиск информации в интернете: веб страницы, картинки, видео и многое другое."
2025-03-30T23:11:01+03:00,http://example.com,200,Example Domain,
